,Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture)
2430,236.44,177.79,0.0,226.23,0.0,1004.92,732.69
2431,402.41,0.0,0.0,211.44,0.0,820.3,797.55
2432,322.85,0.0,109.65,176.11,0.0,953.04,785.95
2433,222.13,0.0,79.24,174.06,0.0,965.04,800.47
2434,292.46,0.0,82.54,187.23,0.0,1079.43,808.16
2435,367.72,0.0,0.0,215.7,0.0,993.29,699.07
2436,216.97,147.1,0.0,250.73,0.0,1062.82,761.66
2437,239.21,0.0,76.38,169.55,0.0,990.43,944.8
2438,354.79,0.0,89.03,279.0,0.0,995.34,769.89
2439,444.68,0.0,0.0,230.27,0.0,904.56,653.21
2440,234.78,197.93,0.0,130.45,6.47,1011.1,913.56
2441,248.86,0.0,102.48,244.55,0.0,1014.37,816.38
2442,308.08,0.0,104.27,191.04,0.0,870.38,790.34
2443,237.99,125.97,0.0,168.36,0.0,1074.38,810.14
2444,275.41,0.0,102.63,142.0,6.37,1098.28,805.16
2445,240.1,187.91,0.0,166.12,6.16,922.34,784.72
2446,385.9,0.0,0.0,124.44,6.2,993.31,890.6
2447,271.92,0.0,111.71,123.12,7.03,927.05,866.17
2448,297.86,0.0,109.15,242.42,0.0,964.94,671.11
2449,331.87,0.0,0.0,104.2,6.05,932.99,928.02
2450,290.07,0.0,76.02,161.0,0.0,1060.92,836.83
2451,375.65,0.0,0.0,175.34,0.0,931.52,925.18
2452,407.39,0.0,0.0,261.71,0.0,968.46,738.49
2453,256.34,124.05,0.0,123.97,9.57,1037.94,893.44
2454,380.18,0.0,0.0,181.13,0.0,1095.12,752.19
2455,409.31,0.0,0.0,212.19,0.0,994.25,849.95
2456,242.22,108.8,0.0,216.11,0.0,988.28,838.33
2457,334.34,0.0,0.0,185.17,0.0,1133.79,812.9
2458,172.07,136.49,0.0,121.45,9.27,1062.56,994.73
2459,282.31,0.0,78.73,147.52,0.0,1115.84,842.43
2460,327.93,0.0,0.0,133.23,0.0,1099.77,759.74
2461,308.9,0.0,130.06,181.05,0.0,1004.92,789.79
2462,445.61,0.0,0.0,237.93,0.0,873.48,759.98
2463,270.45,166.4,0.0,292.87,0.0,984.69,745.99
2464,300.92,0.0,125.22,257.61,0.0,994.84,797.96
2465,285.47,0.0,96.85,229.69,0.0,835.92,815.7
2466,292.48,0.0,105.19,234.59,0.0,855.32,853.55
2467,439.75,0.0,0.0,226.66,0.0,873.39,851.58
2468,399.42,0.0,0.0,153.25,8.33,899.15,875.0
2469,406.17,0.0,0.0,267.61,0.0,912.22,711.5
2470,267.62,0.0,112.44,252.65,0.0,906.15,665.0
2471,401.95,0.0,0.0,217.83,0.0,1069.02,767.14
2472,206.76,188.62,0.0,266.88,0.0,822.96,736.28
2473,338.73,0.0,85.4,134.51,7.73,919.03,865.5
2474,429.02,0.0,0.0,190.46,0.0,1037.7,837.4
2475,242.09,0.0,77.88,159.57,0.0,1098.17,736.35
2476,318.75,0.0,0.0,217.13,0.0,1010.6,711.31
2477,371.65,0.0,0.0,259.15,0.0,960.92,770.34
2478,412.39,0.0,0.0,288.17,0.0,892.66,786.8
2479,355.12,0.0,94.8,264.71,0.0,895.15,855.33
2480,390.26,0.0,0.0,155.34,9.48,924.6,781.84
2481,350.05,0.0,0.0,115.22,8.14,1007.49,750.47
2482,266.09,146.28,0.0,150.86,5.1,954.58,863.69
2483,396.19,0.0,0.0,140.99,6.02,922.08,769.3
2484,422.68,0.0,0.0,140.17,7.71,998.54,842.14
2485,252.73,0.0,103.9,145.71,0.0,1056.89,749.26
2486,236.44,0.0,66.62,162.18,0.0,991.39,782.3
2487,185.79,152.58,0.0,177.74,0.0,948.94,776.72
2488,419.38,0.0,0.0,140.51,8.03,1004.98,695.34
2489,274.62,157.21,0.0,247.66,0.0,983.33,805.89
2490,361.82,0.0,0.0,143.18,5.29,1145.96,825.43
2491,365.81,0.0,0.0,145.94,7.07,1130.45,801.76
2492,436.54,0.0,0.0,302.26,0.0,778.18,777.94
2493,302.78,0.0,103.59,174.56,0.0,971.73,723.83
2494,215.49,199.4,0.0,265.6,0.0,890.68,738.07
2495,448.92,0.0,0.0,208.48,0.0,924.79,651.96
2496,447.67,0.0,0.0,168.07,9.04,1022.34,838.21
2497,215.68,103.55,0.0,125.6,7.66,1017.11,1012.2
2498,313.19,0.0,126.69,191.46,0.0,921.27,768.79
2499,446.56,0.0,0.0,293.91,0.0,862.62,755.51
2500,239.54,166.92,0.0,147.97,8.29,873.52,849.81
2501,301.06,0.0,0.0,185.55,0.0,1048.66,900.24
2502,207.14,166.85,0.0,220.28,0.0,987.19,670.52
2503,434.66,0.0,0.0,179.51,0.0,885.2,797.79
2504,426.89,0.0,0.0,237.09,0.0,823.82,786.6
2505,316.56,0.0,111.02,141.4,9.25,1003.21,754.9
2506,287.5,0.0,106.76,192.34,0.0,903.76,782.54
2507,378.02,0.0,0.0,203.77,0.0,948.98,695.87
2508,357.4,0.0,0.0,210.64,0.0,1018.49,757.56
2509,237.56,138.68,0.0,200.59,0.0,1124.21,761.4
2510,422.13,0.0,0.0,212.14,0.0,921.84,893.42
2511,243.64,187.82,0.0,285.54,0.0,853.69,729.39
2512,206.82,96.83,0.0,200.04,0.0,928.46,858.84
2513,250.51,0.0,91.91,155.85,0.0,963.84,800.55
2514,318.2,0.0,0.0,125.53,7.72,1124.44,815.9
2515,231.66,202.71,0.0,263.51,0.0,1037.92,755.39
2516,443.89,0.0,0.0,142.12,5.74,1039.2,707.17
2517,426.34,0.0,0.0,219.35,0.0,876.33,729.85
2518,333.37,0.0,102.6,156.41,9.07,1095.81,748.92
2519,312.21,0.0,0.0,98.71,5.36,1112.65,760.31
2520,384.68,0.0,0.0,197.1,0.0,992.9,710.51
2521,283.08,123.12,0.0,222.26,0.0,862.75,724.98
2522,327.83,0.0,93.79,162.09,6.27,963.23,952.22
2523,443.81,0.0,0.0,165.84,8.4,1020.47,825.36
2524,290.39,0.0,110.88,248.88,0.0,1084.06,760.83
2525,312.85,0.0,112.4,295.0,0.0,907.79,853.56
2526,421.56,0.0,0.0,250.24,0.0,986.38,772.24
2527,405.12,0.0,0.0,270.19,0.0,920.77,880.79
2528,194.34,156.34,0.0,117.35,6.83,1131.49,839.09
2529,307.86,0.0,85.4,189.11,0.0,1015.98,734.49
2530,296.23,150.34,0.0,184.07,0.0,995.87,720.44
2531,338.21,0.0,87.32,258.2,0.0,906.1,814.94
2532,312.05,0.0,95.2,278.5,0.0,926.66,832.57
2533,396.15,0.0,0.0,131.48,9.35,1055.11,889.18
2534,334.07,0.0,0.0,215.65,0.0,964.61,852.48
2535,273.34,0.0,81.72,246.32,0.0,941.98,729.47
2536,270.68,124.46,0.0,132.11,8.73,925.54,896.53
2537,441.17,0.0,0.0,174.37,6.52,1007.64,853.68
2538,171.59,148.15,0.0,189.62,0.0,1010.78,808.84
2539,371.6,0.0,0.0,124.14,8.68,1045.31,783.56
2540,372.38,0.0,0.0,172.05,0.0,967.23,920.23
2541,243.56,0.0,84.65,128.21,9.92,1038.6,913.78
2542,435.5,0.0,0.0,276.59,0.0,912.96,799.41
2543,438.99,0.0,0.0,147.66,8.3,914.14,871.45
2544,249.33,0.0,73.4,101.72,7.65,1005.02,990.21
2545,421.47,0.0,0.0,133.25,9.34,992.85,928.59
2546,343.25,0.0,0.0,160.38,0.0,1008.16,723.48
2547,310.62,0.0,102.76,166.32,0.0,859.43,810.91
2548,416.09,0.0,0.0,268.41,0.0,1039.71,697.5
2549,247.97,191.3,0.0,155.16,6.85,999.05,727.05
2550,447.42,0.0,0.0,197.29,0.0,912.85,735.19
2551,328.62,0.0,0.0,225.0,0.0,924.86,883.94
2552,449.59,0.0,0.0,265.04,0.0,850.47,635.91
2553,192.43,190.98,0.0,231.99,0.0,957.34,804.83
2554,429.53,0.0,0.0,230.95,0.0,833.93,780.29
2555,207.11,163.57,0.0,224.89,0.0,899.68,836.81
2556,285.78,0.0,118.11,265.92,0.0,973.05,785.8
2557,401.87,0.0,0.0,130.08,7.85,1002.17,897.57
2558,233.98,0.0,88.43,109.63,7.32,935.9,916.22
2559,339.32,0.0,0.0,218.19,0.0,1054.89,860.66
2560,200.95,199.37,0.0,273.19,0.0,914.34,702.2
2561,414.08,0.0,0.0,233.54,0.0,858.11,740.14
2562,392.51,0.0,0.0,125.33,9.38,1003.28,702.06
2563,416.26,0.0,0.0,211.78,0.0,842.65,746.86
2564,428.62,0.0,0.0,164.18,7.55,1012.37,719.8
2565,363.88,0.0,0.0,208.09,0.0,1067.98,842.1
2566,268.84,0.0,115.09,241.32,0.0,915.72,669.25
2567,435.77,0.0,0.0,271.4,0.0,937.15,680.73
2568,283.43,154.11,0.0,254.37,0.0,960.0,818.49
2569,410.57,0.0,0.0,158.92,6.68,1098.4,748.66
2570,230.86,0.0,78.44,110.83,9.55,1089.65,842.08
2571,333.69,0.0,0.0,225.3,0.0,1152.62,786.32
2572,261.31,0.0,77.12,174.18,0.0,1017.97,857.48
2573,310.9,0.0,82.0,162.25,0.0,961.19,866.15
2574,387.21,0.0,0.0,200.06,0.0,822.32,793.41
2575,376.49,0.0,0.0,166.97,0.0,1129.54,815.82
2576,441.24,0.0,0.0,181.82,0.0,935.24,904.3
2577,426.85,0.0,0.0,269.66,0.0,844.11,709.42
2578,434.91,0.0,0.0,180.04,0.0,826.19,776.56
2579,337.9,0.0,0.0,152.99,0.0,935.31,845.08
2580,403.45,0.0,0.0,251.97,0.0,891.25,699.04
2581,349.69,0.0,89.5,138.41,5.48,978.18,806.25
2582,314.05,0.0,102.96,264.66,0.0,848.32,733.41
2583,391.42,0.0,0.0,126.61,9.59,1013.08,752.96
2584,446.14,0.0,0.0,176.85,5.08,895.48,764.85
2585,347.08,0.0,98.17,152.13,9.45,1015.38,714.24
2586,350.74,0.0,0.0,184.57,0.0,977.97,961.56
2587,271.01,165.79,0.0,289.66,0.0,842.7,645.2
2588,257.29,155.35,0.0,145.69,8.52,1036.36,880.1
2589,329.15,0.0,0.0,132.79,0.0,1080.7,801.56
2590,359.58,0.0,0.0,132.09,9.9,981.88,979.61
2591,318.04,0.0,0.0,146.07,0.0,1030.81,826.45
2592,275.17,161.79,0.0,131.42,9.93,881.24,773.1
2593,424.7,0.0,0.0,259.56,0.0,906.03,742.67
2594,253.66,117.02,0.0,172.25,0.0,880.67,864.51
2595,431.82,0.0,0.0,224.73,0.0,980.76,696.26
2596,337.71,0.0,109.35,206.41,0.0,832.99,757.14
2597,417.91,0.0,0.0,183.11,0.0,962.98,742.02
2598,224.13,207.56,0.0,237.95,0.0,856.13,744.81
2599,223.0,0.0,94.71,200.0,0.0,1143.94,794.41
2600,239.36,0.0,98.76,197.44,0.0,969.8,706.94
2601,346.86,0.0,95.01,231.97,0.0,1020.9,706.15
2602,225.01,183.5,0.0,246.85,0.0,867.11,828.66
2603,175.71,142.42,0.0,155.57,0.0,1099.39,836.92
2604,236.74,141.6,0.0,263.17,0.0,960.55,654.21
2605,424.29,0.0,0.0,216.4,0.0,847.55,794.9
2606,425.92,0.0,0.0,147.94,5.14,1048.41,847.55
2607,422.56,0.0,0.0,183.38,0.0,1098.14,783.28
2608,313.32,0.0,96.7,204.27,0.0,1050.61,785.55
2609,407.35,0.0,0.0,257.58,0.0,900.69,721.25
2610,266.41,148.47,0.0,192.58,0.0,933.32,715.99
2611,337.19,0.0,0.0,222.23,0.0,1099.56,735.29
2612,410.62,0.0,0.0,222.37,0.0,989.19,844.23
2613,267.48,0.0,71.41,111.34,5.04,1001.09,978.72
2614,290.02,0.0,94.19,185.61,0.0,997.73,734.99
2615,428.88,0.0,0.0,243.49,0.0,877.81,712.02
2616,358.71,0.0,0.0,206.27,0.0,841.71,799.46
2617,442.6,0.0,0.0,143.79,5.26,886.3,833.52
2618,412.86,0.0,0.0,131.66,6.46,970.55,885.83
2619,215.88,167.89,0.0,142.95,7.41,1018.93,731.41
2620,420.95,0.0,0.0,152.14,8.64,1003.24,853.2
2621,308.16,0.0,0.0,95.07,9.94,951.66,882.6
2622,211.55,132.16,0.0,207.94,0.0,869.01,786.16
2623,361.28,0.0,0.0,227.14,0.0,842.61,774.87
2624,281.4,0.0,84.03,191.57,0.0,1028.73,878.9
2625,283.71,0.0,107.97,249.12,0.0,850.78,716.7
2626,205.53,153.83,0.0,213.03,0.0,986.27,799.03
2627,248.57,139.35,0.0,118.52,7.35,880.4,815.76
2628,314.44,0.0,92.54,213.06,0.0,953.35,891.28
2629,411.27,0.0,0.0,277.9,0.0,873.27,749.8
2630,313.4,0.0,116.0,296.52,0.0,889.22,804.39
2631,277.76,0.0,101.76,193.31,0.0,992.01,768.19
2632,244.59,194.06,0.0,300.05,0.0,873.97,656.55
2633,217.2,124.11,0.0,113.61,6.14,1098.9,928.52
2634,183.85,180.24,0.0,189.95,0.0,1090.33,788.15
2635,278.87,155.23,0.0,298.62,0.0,864.13,764.78
2636,391.84,0.0,0.0,160.93,0.0,1120.65,811.88
2637,409.14,0.0,0.0,248.5,0.0,797.03,768.5
2638,323.75,0.0,93.12,140.76,7.55,978.81,739.26
2639,402.8,0.0,0.0,153.65,8.35,888.49,859.93
2640,214.24,213.87,0.0,203.62,0.0,1045.61,697.77
2641,256.71,180.57,0.0,289.23,0.0,847.29,752.71
2642,377.22,0.0,0.0,128.12,6.94,1149.23,800.78
2643,427.59,0.0,0.0,189.22,0.0,928.85,902.1
2644,374.88,0.0,0.0,198.15,0.0,980.88,836.44
2645,254.41,119.02,0.0,174.15,0.0,1014.87,883.52
2646,415.07,0.0,0.0,173.03,0.0,877.23,806.91
2647,237.38,173.05,0.0,283.29,0.0,906.91,891.03
2648,444.88,0.0,0.0,180.22,0.0,817.07,782.16
2649,329.81,0.0,0.0,168.03,0.0,946.58,771.12
2650,441.28,0.0,0.0,137.13,5.37,1047.26,735.71
2651,268.3,151.85,0.0,226.55,0.0,905.19,776.23
2652,422.06,0.0,0.0,209.0,0.0,825.38,758.45
2653,307.55,0.0,83.5,147.24,5.97,947.2,907.08
2654,224.24,161.86,0.0,160.42,0.0,967.61,715.54
2655,310.18,0.0,110.59,139.85,7.1,925.32,906.48
2656,217.34,199.92,0.0,162.19,9.93,916.58,741.8
2657,444.12,0.0,0.0,175.16,5.15,971.51,737.2
2658,224.84,0.0,83.81,198.18,0.0,1086.59,860.83
2659,224.48,136.67,0.0,159.03,0.0,1102.51,865.75
2660,301.21,134.97,0.0,140.98,5.38,1124.72,766.34
2661,209.06,148.83,0.0,142.73,8.89,1099.91,806.79
2662,441.81,0.0,0.0,198.36,0.0,944.55,844.72
2663,247.73,152.56,0.0,151.56,7.22,993.86,730.07
2664,257.48,147.98,0.0,140.01,6.34,1072.18,746.08
2665,415.18,0.0,0.0,283.62,0.0,1037.59,701.42
2666,422.63,0.0,0.0,254.36,0.0,974.67,751.93
2667,300.24,0.0,117.38,148.23,6.39,1050.3,882.57
2668,360.39,0.0,0.0,144.5,0.0,1043.28,833.27
2669,366.39,0.0,0.0,181.17,0.0,1036.83,864.38
2670,440.99,0.0,0.0,301.9,0.0,881.35,719.68
2671,434.24,0.0,0.0,191.56,0.0,935.26,716.4
2672,415.66,0.0,0.0,214.27,0.0,838.65,741.68
2673,359.99,0.0,0.0,218.02,0.0,963.82,680.68
2674,241.02,154.87,0.0,213.19,0.0,1051.65,779.7
2675,387.46,0.0,0.0,124.46,9.71,1033.28,695.81
2676,322.57,0.0,0.0,140.74,0.0,1062.92,823.27
2677,229.02,200.37,0.0,140.99,5.54,972.44,897.32
2678,350.81,0.0,0.0,167.88,0.0,1040.04,713.95
2679,409.43,0.0,0.0,272.04,0.0,913.15,614.42
2680,356.72,0.0,0.0,147.22,0.0,1043.85,770.94
2681,189.94,163.93,0.0,244.9,0.0,962.56,890.14
2682,406.02,0.0,0.0,156.32,7.44,1052.2,774.02
2683,428.32,0.0,0.0,243.37,0.0,1068.81,745.19
2684,248.23,0.0,78.99,197.78,0.0,1084.84,725.76
2685,311.45,0.0,82.53,196.41,0.0,969.51,826.16
2686,329.68,0.0,0.0,193.62,0.0,1150.13,808.38
2687,338.95,0.0,0.0,219.57,0.0,1058.69,803.78
2688,251.75,0.0,69.16,182.65,0.0,959.17,744.11
2689,363.51,0.0,0.0,131.54,5.48,973.07,918.13
2690,266.77,145.18,0.0,168.63,0.0,1031.27,837.79
2691,329.16,0.0,87.21,179.24,0.0,928.44,777.41
2692,159.77,149.7,0.0,207.0,0.0,1155.06,825.23
2693,175.98,165.96,0.0,147.84,0.0,942.38,873.21
2694,270.77,0.0,111.61,138.57,5.14,951.29,851.9
2695,285.77,0.0,116.74,234.55,0.0,911.07,857.58
2696,215.17,147.51,0.0,223.59,0.0,938.61,920.13
2697,209.59,143.03,0.0,145.38,0.0,1049.89,756.0
2698,348.1,0.0,87.19,160.82,5.71,912.95,861.5
2699,245.82,0.0,69.81,167.5,0.0,960.64,904.84
2700,312.31,0.0,108.75,128.2,6.94,1127.8,766.89
2701,257.84,0.0,77.59,103.92,5.12,1029.81,911.14
2702,395.47,0.0,0.0,154.48,7.1,921.63,878.63
2703,317.01,0.0,95.94,181.44,0.0,838.14,800.37
2704,355.77,0.0,0.0,124.03,5.21,1098.68,879.74
2705,337.46,0.0,0.0,201.79,0.0,1010.65,870.15
2706,214.52,150.58,0.0,126.64,7.21,1001.61,812.92
2707,423.74,0.0,0.0,155.97,8.94,1027.81,840.86
2708,448.47,0.0,0.0,136.87,5.82,1062.73,803.49
2709,250.36,0.0,98.54,119.99,6.89,930.84,929.12
2710,353.03,0.0,0.0,192.43,0.0,1045.89,887.08
2711,359.95,0.0,0.0,251.65,0.0,872.98,789.51
2712,403.25,0.0,0.0,228.39,0.0,883.15,867.02
2713,253.53,140.67,0.0,142.04,8.6,961.27,735.57
2714,420.13,0.0,0.0,196.17,0.0,1066.82,747.24
2715,272.04,150.74,0.0,240.67,0.0,965.06,666.38
2716,232.0,201.6,0.0,150.68,5.77,951.67,824.19
2717,369.7,0.0,0.0,152.98,0.0,951.3,891.73
2718,424.69,0.0,0.0,178.61,0.0,1065.42,764.86
2719,406.2,0.0,0.0,144.52,8.13,876.33,787.41
2720,287.47,0.0,107.23,123.27,5.85,1010.99,771.43
2721,246.07,0.0,66.5,118.46,9.49,1196.73,842.73
2722,290.95,133.74,0.0,203.41,0.0,956.08,900.53
2723,362.04,0.0,0.0,230.78,0.0,914.54,845.37
2724,333.9,0.0,0.0,154.41,0.0,1035.88,851.82
2725,259.0,164.68,0.0,277.6,0.0,811.01,797.4
2726,438.2,0.0,0.0,141.69,5.78,860.57,811.43
2727,342.41,0.0,88.01,236.12,0.0,872.37,665.01
2728,222.53,0.0,85.07,115.58,9.5,1158.23,858.52
2729,377.18,0.0,0.0,141.04,7.57,914.57,796.41
2730,448.74,0.0,0.0,185.49,0.0,956.73,682.81
2731,262.22,116.59,0.0,144.47,8.26,1077.42,884.27
2732,232.43,210.43,0.0,275.47,0.0,1038.43,717.01
2733,251.74,148.9,0.0,234.37,0.0,1017.13,730.25
2734,318.26,0.0,0.0,165.26,0.0,1082.29,785.48
2735,447.91,0.0,0.0,283.82,0.0,925.75,648.05
2736,353.38,0.0,0.0,215.9,0.0,1142.58,764.41
2737,330.83,0.0,0.0,193.69,0.0,1140.58,812.4
2738,224.29,154.55,0.0,182.58,0.0,911.65,833.46
2739,205.1,191.39,0.0,147.33,8.71,1039.24,859.98
2740,380.64,0.0,0.0,215.76,0.0,1078.69,753.0
2741,370.47,0.0,0.0,125.6,9.04,956.7,919.4
2742,357.5,0.0,0.0,135.13,9.33,1035.28,751.62
2743,346.8,0.0,0.0,159.58,0.0,964.24,964.1
2744,220.56,184.66,0.0,168.26,0.0,1014.71,768.29
2745,314.39,0.0,110.21,192.04,0.0,852.31,776.22
2746,170.01,139.98,0.0,138.74,0.0,1155.04,825.06
2747,296.81,143.66,0.0,272.51,0.0,787.26,754.36
2748,415.91,0.0,0.0,279.08,0.0,1052.09,749.24
2749,341.42,0.0,86.71,152.93,5.9,1106.85,750.65
2750,233.54,171.17,0.0,195.55,0.0,1034.55,798.08
2751,420.65,0.0,0.0,202.98,0.0,1026.21,721.1
2752,185.12,150.86,0.0,205.15,0.0,1153.54,803.61
2753,204.38,151.63,0.0,238.51,0.0,1055.79,841.06
2754,425.89,0.0,0.0,161.41,5.91,1019.38,847.38
2755,433.15,0.0,0.0,244.98,0.0,1030.32,769.22
2756,441.98,0.0,0.0,150.67,6.97,929.42,886.37
2757,289.28,0.0,123.69,250.38,0.0,874.53,766.3
2758,211.4,140.46,0.0,173.68,0.0,973.42,915.57
2759,414.74,0.0,0.0,200.0,0.0,939.32,929.48
2760,400.7,0.0,0.0,221.09,0.0,859.61,857.07
2761,200.35,134.51,0.0,206.74,0.0,982.02,732.75
2762,405.25,0.0,0.0,261.95,0.0,980.13,718.77
2763,265.34,124.05,0.0,231.93,0.0,864.1,854.77
2764,226.68,169.57,0.0,124.72,8.94,950.04,733.47
2765,213.46,171.31,0.0,125.58,9.66,1147.03,837.3
2766,289.85,0.0,85.44,132.72,6.63,890.08,812.61
2767,364.61,0.0,0.0,253.96,0.0,940.9,927.0
2768,439.41,0.0,0.0,223.19,0.0,926.25,898.42
2769,307.14,0.0,87.23,271.33,0.0,1062.54,708.5
2770,443.31,0.0,0.0,174.49,6.34,836.79,830.84
2771,369.33,0.0,0.0,240.16,0.0,1015.56,834.47
2772,324.61,0.0,106.35,130.44,6.43,962.73,842.16
2773,177.53,163.55,0.0,232.76,0.0,914.18,904.18
2774,392.78,0.0,0.0,157.86,0.0,892.74,805.96
2775,378.33,0.0,0.0,134.97,6.22,955.15,826.09
2776,285.76,0.0,77.76,112.48,8.48,1155.63,830.97
2777,381.28,0.0,0.0,175.98,0.0,1036.89,726.63
2778,261.34,174.75,0.0,282.12,0.0,867.27,824.73
2779,447.21,0.0,0.0,236.6,0.0,881.77,757.12
2780,186.33,158.83,0.0,199.09,0.0,1120.25,777.46
2781,411.34,0.0,0.0,184.35,0.0,1127.88,770.96
2782,413.87,0.0,0.0,136.49,7.04,937.13,743.44
2783,216.38,159.95,0.0,236.19,0.0,819.82,799.64
2784,306.6,0.0,130.76,226.8,0.0,853.71,751.63
2785,396.67,0.0,0.0,129.32,9.69,1089.61,874.37
2786,431.7,0.0,0.0,152.46,7.21,943.36,751.01
2787,232.6,206.66,0.0,268.73,0.0,912.85,756.55
2788,305.12,0.0,0.0,179.0,0.0,932.05,796.13
2789,350.66,0.0,0.0,216.26,0.0,867.68,859.46
2790,194.63,139.46,0.0,147.49,0.0,987.33,780.34
2791,356.42,0.0,0.0,188.51,0.0,887.55,823.01
2792,222.86,184.52,0.0,144.98,6.41,894.98,825.8
2793,391.94,0.0,0.0,230.84,0.0,928.55,873.27
2794,300.68,0.0,99.27,192.58,0.0,876.68,834.13
2795,239.66,182.88,0.0,266.58,0.0,1052.49,754.77
2796,394.86,0.0,0.0,206.54,0.0,925.07,903.44
2797,233.59,177.62,0.0,161.37,6.22,954.31,843.4
2798,299.18,0.0,103.0,150.45,7.59,945.48,794.34
2799,189.69,173.73,0.0,220.75,0.0,1109.13,760.18
2800,260.68,0.0,96.7,175.53,0.0,1033.31,932.08
2801,257.12,0.0,86.56,192.59,0.0,1160.55,786.45
2802,268.05,0.0,105.61,193.73,0.0,966.83,951.11
2803,398.97,0.0,0.0,157.98,8.95,1116.38,762.89
2804,416.4,0.0,0.0,284.79,0.0,886.85,614.58
2805,438.34,0.0,0.0,302.26,0.0,856.56,682.49
2806,282.69,153.58,0.0,279.64,0.0,937.83,731.89
2807,423.37,0.0,0.0,200.03,0.0,944.12,872.07
2808,365.81,0.0,0.0,192.06,0.0,1014.63,786.77
2809,435.93,0.0,0.0,176.69,0.0,953.34,816.03
2810,198.01,132.54,0.0,142.74,0.0,1040.6,753.18
2811,375.6,0.0,0.0,164.27,0.0,1122.98,836.88
2812,429.66,0.0,0.0,200.46,0.0,957.17,811.0
2813,236.07,0.0,66.85,199.04,0.0,1077.47,741.1
2814,288.68,0.0,117.18,259.81,0.0,835.5,703.62
2815,301.03,143.17,0.0,279.97,0.0,1042.99,719.28
2816,209.9,166.14,0.0,184.47,0.0,981.76,818.13
2817,396.34,0.0,0.0,155.18,9.43,941.72,783.39
2818,397.92,0.0,0.0,202.24,0.0,846.34,801.1
2819,364.29,0.0,0.0,202.5,0.0,921.82,891.96
2820,224.79,171.18,0.0,127.33,7.58,1086.71,889.95
2821,438.02,0.0,0.0,240.43,0.0,921.01,869.57
2822,338.04,0.0,101.41,288.5,0.0,897.4,657.72
2823,299.72,0.0,107.57,230.16,0.0,983.76,701.58
2824,324.15,0.0,0.0,102.03,5.38,1051.51,976.29
2825,264.05,185.58,0.0,260.0,0.0,920.9,700.59
2826,449.11,0.0,0.0,218.23,0.0,905.15,710.78
2827,360.3,0.0,0.0,215.65,0.0,983.94,890.4
2828,378.73,0.0,0.0,261.97,0.0,893.22,804.92
2829,223.04,190.16,0.0,220.23,0.0,1091.94,741.12
2830,305.35,0.0,0.0,97.08,5.65,1231.41,822.21
2831,398.44,0.0,0.0,227.43,0.0,1037.28,747.2
2832,393.92,0.0,0.0,176.8,0.0,870.67,798.8
2833,259.08,142.63,0.0,172.63,0.0,909.76,848.93
2834,306.47,0.0,95.98,148.78,9.41,977.79,901.24
2835,351.64,0.0,0.0,193.02,0.0,1095.45,810.72
2836,307.42,0.0,0.0,200.05,0.0,1051.01,775.93
2837,267.61,177.34,0.0,296.01,0.0,887.68,637.86
2838,223.67,203.52,0.0,206.06,0.0,949.05,637.0
2839,213.89,155.21,0.0,121.64,7.8,1025.61,953.0
2840,338.6,0.0,0.0,235.73,0.0,923.79,799.16
2841,217.53,0.0,87.51,195.97,0.0,994.39,708.89
2842,446.12,0.0,0.0,288.1,0.0,927.99,724.98
2843,216.5,213.35,0.0,285.45,0.0,1022.12,739.76
2844,372.5,0.0,0.0,164.62,0.0,856.27,821.46
2845,377.22,0.0,0.0,207.88,0.0,953.2,891.9
2846,272.15,0.0,113.5,149.77,9.01,1121.52,763.35
2847,360.72,0.0,0.0,245.91,0.0,938.93,813.9
2848,403.15,0.0,0.0,150.93,8.34,982.69,799.91
2849,414.54,0.0,0.0,277.43,0.0,1061.2,740.27
2850,275.98,0.0,99.03,177.34,0.0,905.5,764.51
2851,333.08,0.0,101.18,270.92,0.0,866.29,816.79
2852,312.58,0.0,93.02,194.28,0.0,958.37,820.61
2853,219.85,214.6,0.0,218.21,0.0,934.44,681.18
2854,169.95,164.1,0.0,113.48,7.12,1000.51,868.14
2855,291.03,0.0,111.57,135.73,8.72,1028.03,917.68
2856,300.58,0.0,0.0,154.59,0.0,980.26,879.92
2857,337.06,0.0,103.63,286.59,0.0,991.47,688.49
2858,215.3,173.89,0.0,187.85,0.0,929.23,859.52
2859,221.36,202.89,0.0,220.08,0.0,1061.98,785.27
2860,246.56,0.0,102.36,173.71,0.0,926.7,773.92
2861,200.57,114.64,0.0,201.15,0.0,1102.21,829.67
2862,186.66,140.33,0.0,193.29,0.0,953.11,759.98
2863,433.56,0.0,0.0,217.62,0.0,841.56,815.98
2864,344.02,0.0,0.0,123.86,9.41,990.2,790.11
2865,420.11,0.0,0.0,178.97,0.0,1098.99,737.03
2866,256.18,0.0,75.76,177.47,0.0,1006.07,980.95
2867,327.36,0.0,113.95,293.82,0.0,907.39,689.94
2868,319.65,0.0,0.0,125.82,6.0,1038.67,721.48
2869,301.87,0.0,0.0,167.02,0.0,1076.32,805.23
